# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Faecal Coli,,,,,,,,
,,,,,,,,Conductivity,B.O.D.,,,,,Total Coli form,Nitrate-N + Nitrite-,,,,,
,,,"Temperature ⁰C ",,"pH ",,,,,,form,,,,,,,,,
Station,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(μmhos/cm),(mg/l),,,,,(MPN/100ml),,N (mg/l),,,,
,"Station Name ","State Name ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(MPN/100ml),,,,,,,,,
"Code ",,,,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max,,,,
"3793 ","TUBE WELL AT R/O SRI TANKESWAR DAS,","ASSAM ","27.0 ","27.0 ","6.8 ","6.8 ","451 ","451 ","1.6 ","1.6 ","700 ","700 ","1500 ","1500 ","2.10 ",2.10,,,,
,RUPJYOTI COLONY (NAGABALI) MUNICIPALITY,,,,,,,,,,,,,,,,,,,
,"DUMPING SITE, GOLAGHAT",,,,,,,,,,,,,,,,,,,
"3794 ",TUBE WELL AT R/O SRI ANIL BAORA AT,"ASSAM ","27.0 ","27.0 ","6.7 ","6.7 ","489 ","489 ","2.2 ","2.2 ","2 ","2 ","2 ","2 ","2.70 ",2.70,,,,
,"BOSAGAON NEAR BY THE ATHKHALIA, NAMGHAR,",,,,,,,,,,,,,,,,,,,
,PO: PULIKAITONI,,,,,,,,,,,,,,,,,,,
"3795 ",TUBE WELL OF WOKHA GORONGA GIRLS ME,"ASSAM ","26.0 ","26.0 ","7.5 ","7.5 ","370 ","370 ","1.4 ","1.4 ","2 ","2 ","2 ","2 ","1.60 ",1.60,,,,
,"SCHOOL, GOROUNGA TINIALI, FURKATING",,,,,,,,,,,,,,,,,,,
"3801 ",GROUND WATER FROM MEHEPUR TRENCHING,"ASSAM ","25.0 ","25.0 ","7.4 ","7.4 ","545 ","545 ","5.1 ","5.1 ","2 ","2 ","2 ","2 ","1.50 ",1.50,,,,
,"GROUND, MEHERPUR, CACHAR",,,,,,,,,,,,,,,,,,,
"3802 ",GROUND WATER FROM MEHEPUR NEAR A,"ASSAM ","25.0 ","25.0 ","7.1 ","7.1 ","331 ","331 ","2.0 ","2.0 ","2 ","2 ","2 ","2 ","1.20 ",1.20,,,,
,CLUSTER OF NURSING HOME & DIAGNOSTIC,,,,,,,,,,,,,,,,,,,
,"CENTRE, MEHERPUR, CACHAR",,,,,,,,,,,,,,,,,,,
"3805 ",GROUND WATER NEAR BADARPUR INDUSTRIAL,"ASSAM ","26.0 ","26.0 ","6.8 ","6.8 ","162 ","162 ","2.2 ","2.2 ","2 ","2 ","2 ","2 ","1.70 ",1.70,,,,
,"AREA AT BADARPUR GHAT, KARIMGANJ",,,,,,,,,,,,,,,,,,,
"3813 ","GROUND WATER FROM BONDA, GUWAHATI ","ASSAM ","27.0 ","27.0 ","5.6 ","5.6 ","309 ","309 ","1.7 ","1.7 ","2 ","2 ","2 ","2 ","1.90 ",1.90,,,,
"3815 ","GROUND WATER FROM KHANAPARA, GUWAHATI ","ASSAM ","24.0 ","24.0 ","7.8 ","7.8 ","286 ","286 ","0.8 ","0.8 ","2 ","2 ","2 ","2 ","1.90 ",1.90,,,,

,,,,,,,,,,,,Faecal Coli,,,,,,,,
,,,,,,,,Conductivity,B.O.D.,,,,Total Coli form,,Nitrate-N + Nitrite-,,,,,
,,,"Temperature ⁰C ",,"pH ",,,,,,form,,,,,,,,,
Station,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(μmhos/cm),(mg/l),,,,(MPN/100ml),,,N (mg/l),,,,
,"Station Name ","State Name ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(MPN/100ml),,,,,,,,,
"Code ",,,,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max,,,,
"3816 ","GROUND WATER FROM BASISTHA, GUWAHATI ","ASSAM ","24.0 ","24.0 ","7.9 ","7.9 ","280 ","280 ","0.5 ","0.5 ","2 ","2 ","2 ","2 ","0.10 ",0.10,,,,
"3817 ","GROUND WATER FROM KAHILIPARA, GUWAHATI ","ASSAM ","25.0 ","25.0 ","7.0 ","7.0 ","331 ","331 ","0.8 ","0.8 ","2 ","2 ","2 ","2 ","0.10 ",0.10,,,,
