# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total Coli,,Faecal Coli
,,,Temperature,,,Dissolved,,,,Conductivity,,,,Nitrate-N +,,,,
"1534 ",,"ASSAM ","21.0 ","26.0 ","0.0 ","0.0 ","6.6 ","7.0 ","60 ","97 ","1.6 ","3.8 ","1.00 ","1.10 ","2 ","2 ","2 ",2
,"ANGLONG DISTT., ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER AT SIBSAGAR,,,,,,,,,,,,,,,,,
1535,"GOVT ME SCHOOL WARD 6, RED","ASSAM ","23.0 ","25.0 ","0.0 ","0.0 ","7.1 ","7.6 ","213 ","290 ","1.8 ","2.8 ","1.00 ","1.20 ","2 ","2 ","2 ",2
,"CROSS ROAD , ASSAM",,,,,,,,,,,,,,,,,
,GROUND WATER NEAR BPMS,,,,,,,,,,,,,,,,,
1536,H.S. SCHOOL SONARI TOWN DIST,"ASSAM ","24.0 ","30.0 ","0.0 ","0.0 ","7.2 ","7.9 ","233 ","296 ","1.0 ","2.0 ","0.70 ","1.00 ","2 ","2 ","2 ",2
,CHARAIDEO,,,,,,,,,,,,,,,,,
,"GROUND WATER AT (JORHAT,",,,,,,,,,,,,,,,,,
"1537 ",,"ASSAM ","25.0 ","25.0 ","0.0 ","0.0 ","7.0 ","7.5 ","130 ","237 ","1.1 ","2.3 ","1.20 ","3.20 ","2 ","2 ","2 ",2
,"ASSAM) ",,,,,,,,,,,,,,,,,
,"GROUND WATER AT SILCHAR,",,,,,,,,,,,,,,,,,
"1538 ",,"ASSAM ","23.0 ","24.0 ","0.0 ","0.0 ","6.3 ","6.4 ","96 ","116 ","1.2 ","2.0 ","1.00 ","1.70 ","2 ","2 ","2 ",2
,"ASSAM ",,,,,,,,,,,,,,,,,
,"GROUND WATER AT BARPETA,",,,,,,,,,,,,,,,,,
"1539 ",,"ASSAM ","26.0 ","27.0 ","0.0 ","0.0 ","7.2 ","7.5 ","278 ","578 ","1.3 ","1.6 ","0.70 ","0.70 ","2 ","2 ","2 ",2
,"ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER AT,,,,,,,,,,,,,,,,,
"1540 ",,"ASSAM ","26.0 ","28.0 ","0.0 ","0.0 ","7.2 ","7.3 ","104 ","110 ","1.4 ","1.8 ","1.10 ","1.20 ","2 ","2 ","2 ",2
,"BONAIGAON, ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER AT NOONMATI,,,,,,,,,,,,,,,,,
"1541 ",,"ASSAM ","22.0 ","29.0 ","0.0 ","0.0 ","7.1 ","7.2 ","187 ","445 ","1.2 ","1.2 ","0.50 ","2.80 ","2 ","2 ","2 ",2
,"GUWAHATI, ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER AT SIJUBARI,,,,,,,,,,,,,,,,,
"1542 ",,"ASSAM ","25.0 ","26.0 ","0.0 ","0.0 ","7.0 ","7.1 ","44 ","49 ","1.5 ","2.6 ","0.70 ","1.00 ","2 ","2 ","2 ",2
,"MAZAR, NATBOMA HATIGAON ",,,,,,,,,,,,,,,,,
,"GROUND WATER FROM LEDO,",,,,,,,,,,,,,,,,,
"2243 ",,"ASSAM ","18.0 ","26.0 ","0.0 ","0.0 ","5.4 ","6.6 ","214 ","221 ","1.8 ","2.7 ","0.70 ","0.90 ","2 ","2 ","2 ",2
,"MARGHERITA, ASSAM ",,,,,,,,,,,,,,,,,
,"GROUND WATER FROM NAZIRA,",,,,,,,,,,,,,,,,,
"2244 ",,"ASSAM ","25.0 ","30.0 ","0.0 ","0.0 ","7.3 ","7.6 ","245 ","283 ","0.8 ","2.0 ","1.00 ","2.00 ","2 ","2 ","2 ",2
,"ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
2245,NUMALIGARH (NEAR NRL TE,"ASSAM ","24.0 ","27.0 ","0.0 ","0.0 ","5.4 ","6.6 ","116 ","140 ","1.3 ","4.2 ","1.00 ","1.00 ","2 ","2 ","2 ",2
,"LABOR COLONY), ASSAM",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
"2246 ",,"ASSAM ","18.0 ","24.0 ","0.0 ","0.0 ","7.0 ","7.2 ","109 ","144 ","1.1 ","2.1 ","0.70 ","1.00 ","2 ","2 ","2 ",2
,"SEMENCHAPARI, ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
"2247 ",,"ASSAM ","18.0 ","24.0 ","0.0 ","0.0 ","6.8 ","6.9 ","23 ","191 ","1.2 ","1.8 ","0.80 ","1.00 ","2 ","2 ","2 ",2
,"SILAPATHAR, ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
"2248 ",,"ASSAM ","28.0 ","30.0 ","0.0 ","0.0 ","7.0 ","7.1 ","135 ","140 ","1.5 ","3.4 ","0.70 ","0.80 ","2 ","2 ","2 ",2
,"LAKHIMPUR TOWN, ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM TEZPUR,,,,,,,,,,,,,,,,,
"2249 ",,"ASSAM ","26.0 ","27.0 ","0.0 ","0.0 ","6.7 ","7.2 ","137 ","268 ","1.0 ","2.0 ","0.30 ","0.70 ","2 ","2 ","2 ",2
,"(MISSION CHARIALI), ASSAM ",,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,Total Coli,Faecal Coli,
,,,Temperature,,,Dissolved,,,Conductivity,,,,,Nitrate-N +,,,,
,,,,,,,,"pH ",,,,"B.O.D. ",,,form,,form,
Station,,,,,,,,,,,,,,,,,,
,,,⁰C,,,"O2 ",,,"(μmhos/cm) ",,,,Nitrite-N (mg/l),,,,,
,"Station Name ",State Name,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(MPN/100ml),,(MPN/100ml),
"Code ",,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
